FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
247,"暮","livelihood",2017-03-21 22:17:08,2017-07-16,7,5,32
248,"膜","membrane",2017-05-26 09:59:47,2017-10-05,7,3,15
249,"苗","seedling",2017-03-14 10:37:13,2017-06-29,7,4,23
250,"兆","portent",2017-03-14 10:37:13,2017-07-18,7,4,20
251,"桃","peach tree",2017-05-28 12:28:23,2017-07-02,5,10,36
252,"眺","stare",2017-05-22 13:42:28,2017-07-26,6,6,28
253,"犬","dog",2017-01-04 08:38:26,2017-12-15,8,0,9
254,"状","status quo",2017-06-01 07:00:16,2017-07-06,5,9,30
255,"黙","silence",2017-03-21 22:17:33,2017-07-24,7,4,24
256,"然","sort of thing",2017-06-04 22:27:00,2017-06-19,4,13,42
257,"荻","reed",2017-05-29 13:12:58,2017-08-02,6,10,33
258,"狩","hunt",2017-03-28 09:22:57,2017-07-24,7,5,27
259,"猫","cat",2017-03-14 10:37:13,2017-07-27,7,2,18
260,"牛","cow",2017-04-09 10:59:41,2018-03-18,8,1,10
261,"特","special",2017-03-04 19:59:09,2017-07-01,7,10,43
262,"告","revelation",2017-05-14 19:00:55,2017-06-14,5,6,22
263,"先","before",2017-04-09 10:31:29,2017-08-20,7,6,33
264,"洗","wash",2017-03-28 08:54:26,2017-07-19,7,3,23
265,"介","jammed in",2017-04-03 10:10:28,2017-12-28,8,1,10
266,"界","world",2017-03-21 10:01:46,2017-07-05,7,4,25
267,"茶","tea",2017-02-15 09:36:13,2017-06-09,7,7,30
268,"脊","spinal column",2017-03-28 08:31:54,2017-08-01,7,7,31
269,"合","fit",2017-03-28 09:22:57,2017-09-11,7,1,15
270,"塔","pagoda",2017-05-30 06:34:57,2017-06-11,3,19,45
271,"王","king",2016-11-23 07:46:46,2017-08-04,8,0,9
272,"玉","jewel",2017-05-26 09:59:47,2017-09-18,7,2,10
273,"宝","treasure",2017-04-17 14:10:16,2017-08-28,7,3,23
274,"珠","pearl",2017-06-03 17:17:21,2017-06-18,4,8,32
275,"現","present",2017-06-04 11:14:26,2017-06-10,3,5,22
276,"玩","toy",2017-04-19 10:36:15,2017-08-25,7,12,34
277,"狂","lunatic",2017-04-17 14:24:39,2017-08-06,7,3,24
278,"旺","effulgent",2017-03-21 09:58:21,2017-07-18,7,5,23
279,"皇","emperor",2017-05-31 11:19:54,2017-08-02,6,6,25
280,"呈","display",2017-04-03 10:04:16,2017-12-12,8,1,14
281,"全","whole",2017-04-06 21:40:10,2017-08-13,7,2,19
282,"栓","plug",2017-05-30 09:50:01,2017-07-02,5,10,35
283,"理","logic",2017-03-14 09:43:37,2017-07-23,7,4,21
284,"主","lord",2017-04-03 10:06:44,2017-11-28,8,1,10
285,"注","pour",2017-02-21 07:48:34,2017-06-22,7,5,25
286,"柱","pillar",2017-02-18 07:39:58,2017-06-09,7,4,22
287,"金","gold",2016-11-22 21:10:39,2017-07-15,8,1,11
288,"銑","pig iron",2017-04-27 07:17:05,2017-08-15,7,4,25
289,"鉢","bowl",2017-03-28 09:07:30,2017-07-30,7,5,25
290,"銅","copper",2017-03-28 09:19:21,2017-08-06,7,5,23
291,"釣","angling",2017-05-15 14:30:30,2017-06-12,5,8,25
292,"針","needle",2017-03-28 09:16:56,2017-09-09,7,3,20
293,"銘","inscription",2017-05-30 07:58:21,2017-06-27,5,8,29
294,"鎮","tranquillize",2017-03-28 09:26:47,2017-07-30,7,5,28
295,"道","road-way",2017-05-30 08:01:04,2017-07-02,5,5,24
296,"導","guidance",2017-04-28 11:33:12,2017-09-10,7,6,26
297,"辻","crossing",2017-03-14 10:07:12,2018-02-21,8,1,10
298,"迅","swift",2017-04-03 10:10:28,2017-12-23,8,3,19
299,"造","create",2017-05-30 12:42:01,2017-06-10,4,11,32
300,"迫","urge",2017-04-03 10:18:45,2017-08-04,7,3,24
301,"逃","escape",2017-04-19 10:49:31,2017-08-07,7,4,24
